class,order,analysis_priority,file_category,file_subcategory,rule_type,rule,condition
SourceJavascriptSourceMap,10,1,source,js_map,path,path: .js.map,path: endswith
SourceJavaserverpage,10,1,source,javaserverpage,extension,extension: .jsp,extension: in
SourceKotlin,10,1,source,kotlin,extension,extension: .kt,extension: in
SourceLisp,10,1,source,lisp,extension,"extension: .el, .lisp",extension: in
SourceLua,10,1,source,lua,extension,extension: .lua,extension: in
SourceNim,10,1,source,nim,extension,extension: .nim,extension: in
SourceObjectivec,10,1,source,objectivec,extension,"extension: .m, .mm",extension: in
SourceObjectivec,10,1,source,objectivec,extension AND mime_type,"extension: .h
mime_type: text/x-objective-c","extension: in
mime_type: in"
SourcePatch,10,2,source,patch,extension,extension: .patch,extension: in
SourcePerl,10,1,source,perl,extension,"extension: .pl, .pm, .ph",extension: in
SourcePhp,10,1,source,php,extension,"extension: .php, .php3, .php4, .php5",extension: in
SourceProC,10,1,source,pro c/c++,extension,extension: .pc,extension: in
SourcePython,10,1,source,python,extension,extension: .py,extension: in
SourceRuby,10,1,source,ruby,extension,"extension: .rb, .rake",extension: in
SourceRust,10,1,source,rust,extension,extension: .rs,extension: in
SourceScala,10,1,source,scala,extension,extension: .scala,extension: in
SourceSwift,10,1,source,swift,extension,extension: .swift,extension: in
SourceTypescript,10,1,source,typescript,extension AND programming_language,"extension: .ts
programming_language: TypeScript","extension: in
programming_language: in"
SourceVB,10,1,source,visual_basic,extension,extension: .vb,extension: in
TimeZoneData,0,4,timezone data,,file_type,file_type: timezone data,file_type: startswith
WebCss,10,1,web,css,extension,"extension: .css, .less, .scss",extension: in
WebHtml,10,3,web,html,extension,"extension: .htm, .html",extension: in
WebHtml,11,3,web,html,mime_type,mime_type: text/html,mime_type: in
WebRuby,10,2,web,Ruby,extension,extension: .erb,extension: in
WebTemplate,20,3,web,template,extension,"extension: .tpl, .twig",extension: in
WhiteOut,0,98,whiteout,,name AND type,"name:  .wh..wh..opq
type: file","name: in
type: equal"
Zoneinfo,20,90,path,zoneinfo,path,path:   /share/zoneinfo/,path: substring
